shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,49.286458,-123.140424,1,0
1,49.287123,-123.141567,2,150.5
1,49.288456,-123.142890,3,320.8
1,49.289012,-123.143234,4,410.2
2,49.179962,-123.091490,1,0
2,49.180234,-123.092456,2,120.3
2,49.181567,-123.093789,3,280.6
3,49.250879,-122.919712,1,0
3,49.251234,-122.920456,2,95.4
3,49.252567,-122.921789,3,210.8
3,49.253890,-122.923012,4,350.2
3,49.255123,-122.924345,5,520.1
1,49.290345,-123.144567,5,550.0
2,49.182890,-123.095012,4,450.9
